NAME,ADDRESS,CLASS,ZONE,City,Country,Latitude,Longitude
mómawyatitón park,3350 7TH AVE,C,CENTRAL,Regina,Canada,50.458572,-104.6295983
DEWDNEY POOL PARK,3355 8TH AVE,B,CENTRAL,Regina,Canada,50.4561352,-104.6289264
ASSINIBOINE PARK,3355 ROBINSON ST,B,SOUTH,Regina,Canada,50.42496999999999,-104.62261
PLAINS MINNOW PARK,3401 GREEN LILY RD,B,EAST,Regina,Canada,50.4244059,-104.5079741
EASTGATE PARK,3410 E EASTGATE DR,D,EAST,Regina,Canada,50.4516681,-104.5316384
ST ANNE PARK,342 N HALIFAX ST,C,NORTH,Regina,Canada,50.4734322,-104.6038246
AL PICKARD PARK,343 N PICKARD ST,B,WEST,Regina,Canada,50.4819307,-104.6564453
ARBOR GROVE PARK,3436 OLIVE GROVE,B,EAST,Regina,Canada,50.42525000000001,-104.5333799
ARLINGTON PARK,35 GROOME AVE,B,SOUTH,Regina,Canada,50.3996319,-104.6270165
MERLIN PARK 3,35 LAWSON ST,B,NORTH,Regina,Canada,50.4840732,-104.6248708
MCLEOD PARK,3500 QUEEN ST,C,SOUTH,Regina,Canada,50.4143061,-104.6368873
EASTGATE PARK,3502 E EASTGATE DR,B,EAST,Regina,Canada,50.4516681,-104.5316384
WOODLAND GROVE PARK,3507 ARBOR GROVE DR,B,EAST,Regina,Canada,50.4241,-104.53122
GORDON PARK,3509 GORDON RD,B,SOUTH,Regina,Canada,50.40475,-104.63041
GREEN MEADOW PARK,3598 GREEN BANK RD,B,EAST,Regina,Canada,50.42271,-104.52028
SELINGER PARK,3674 SELINGER CRES,B,EAST,Regina,Canada,50.41914999999999,-104.55291
CREEKSIDE PARK,3700 E DEWDNEY AVE,B,EAST,Regina,Canada,50.4550645,-104.5099999
JENKINS DRIVE PARK,3706 E JENKINS DR,B,EAST,Regina,Canada,50.4652095,-104.530746
YELLOW RAIL PARK,3735 GREEN DIAMOND RD,B,EAST,Regina,Canada,50.41923,-104.50969
PRINCE OF WALES PARK,3800 E CUMBERLAND RD,B,EAST,Regina,Canada,50.4373569,-104.5266449
LESLIE PARK  LAWN BOWLING PARK,3820 VICTORIA AVE,B,CENTRAL,Regina,Canada,50.44771110000001,-104.6367296
PRINCE WILLIAM PARK,3860 BUCKINGHAM DR,B,EAST,Regina,Canada,50.4293245,-104.5293795
HUDSON PARK,3890 PARLIAMENT AVE,B,SOUTH,Regina,Canada,50.4158856,-104.633549
RAWLINSON CRESCENT PARK,3898 28TH AVE,C,SOUTH,Regina,Canada,50.41525,-104.6357
HENRY JANZEN PARK,390 DALGLIESH DR,B,WEST,Regina,Canada,50.4897599,-104.6574
WASCANA CREEK PARK,3910 PRINCE OF WALES DR,B,EAST,Regina,Canada,50.41793,-104.54683
LES SHERMAN PARK SOUTH,3955 17TH AVE,B,CENTRAL,Regina,Canada,50.44012,-104.63818
DR AE PERRY PARK,40 COWIE RD,B,SOUTH,Regina,Canada,50.4019,-104.63198
CRAIGIE PARK,40 TREMAINE AVE,B,WEST,Regina,Canada,50.49278,-104.64476
NORTH WEST RESERVOIR PARK,401 DALGLIESH DR,B,WEST,Regina,Canada,50.48548,-104.64367
HAMMERSTROM PARK,402 HALIFAX ST,C,NORTH,Regina,Canada,50.47228,-104.60389
REGINA RUGBY PARK,4025 25TH AVE,B,SOUTH,Regina,Canada,50.4179482,-104.6388541
LES SHERMAN PARK NORTH,4055 15TH AVE,B,CENTRAL,Regina,Canada,50.44145,-104.6388
HOLLAND PARK,410 HOLLAND AVE,B,CENTRAL,Regina,Canada,50.43575,-104.58725
ELSIE DORSEY PARK,4199 CASTLE RD,C,SOUTH,Regina,Canada,50.40984,-104.59811
OKIMASIS PARK,4200 WILD ROSE PL,B,EAST,Regina,Canada,50.41084,-104.52488
RIPPLINGER PARK,4211 CHUKA DR,B,EAST,Regina,Canada,50.41142,-104.51832
