NAME,ADDRESS,CLASS,ZONE,City,Country
PASCOE PARK,3199 19TH AVE,C,CENTRAL,Regina,Canada
PASQUA PARK,1301 PASQUA ST,B,CENTRAL,Regina,Canada
7TH AVENUE PARK,1301 PASQUA ST,B,CENTRAL,Regina,Canada
PASQUA GATE PARK,634 DALGLIESH DR,B,WEST,Regina,Canada
PATRICIA PARK,3009 AVONHURST DR,B,NORTH,Regina,Canada
PATTY CAKE PLAY PARK,1581 ROBINSON ST,C,CENTRAL,Regina,Canada
PEART PARK,2851 OTTAWA ST,B,CENTRAL,Regina,Canada
PHILLIP PARK,3256 MARGARET RD,B,EAST,Regina,Canada
PINES OF NORMANVIEW PARK,1098 DOROTHY ST,B,WEST,Regina,Canada
PLAINS MINNOW PARK,3401 GREEN LILY RD,B,EAST,Regina,Canada
PLAINSVIEW PARK,61 PLAINSVIEW DR,B,SOUTH,Regina,Canada
PONY PARK,3202 MCKINLEY AVE,C,NORTH,Regina,Canada
PRICE PARK,920 N MCINTOSH ST,B,WEST,Regina,Canada
PRINCE OF WALES PARK,3800 E CUMBERLAND RD,B,EAST,Regina,Canada
PRINCE WILLIAM PARK,3860 BUCKINGHAM DR,B,EAST,Regina,Canada
PROCTER PARK,100 PROCTER PL,B,SOUTH,Regina,Canada
QU'APPELLE PARK,1301 PARKER AVE,B,SOUTH,Regina,Canada
QUEEN ELIZABETH II COURT PARK,2476 VICTORIA AVE,A,CENTRAL,Regina,Canada
QUEEN ELIZABETH JUBILEE PARK,111 E BROADWAY AVE,B,EAST,Regina,Canada
QUEEN STREET PARK,4410 QUEEN ST,B,SOUTH,Regina,Canada
QUEEN'S PARK,2925 4TH AVE N,B,NORTH,Regina,Canada
RAE PARK,3101 PARLIAMENT AVE,C,SOUTH,Regina,Canada
RAMBLER PARK,5310 13TH AVE,C,CENTRAL,Regina,Canada
CRAIG PARK EXTENSION,5310 13TH AVE,C,CENTRAL,Regina,Canada
RAMBLER PARK,5215 14TH AVE,C,,Regina,Canada
RAWLINSON CRESCENT PARK,3898 28TH AVE,C,SOUTH,Regina,Canada
READY PARK,3043 E ARENS RD,B,EAST,Regina,Canada
REALTORS PARK,4310 MONTAGUE ST,B,SOUTH,Regina,Canada
REGENT POOL PARK,560 ELPHINSTONE ST,C,NORTH,Regina,Canada
REGINA RUGBY PARK,4025 25TH AVE,B,SOUTH,Regina,Canada
REIBLING PARK,50 CAVENDISH ST,B,EAST,Regina,Canada
REVES PARK,3175 HARDING ST,B,EAST,Regina,Canada
RICHARDSON PARK,156 SHANNON RD,B,SOUTH,Regina,Canada
RICK HANSEN OPTIMIST PLAYGROUND,1010 MCCARTHY BLVD,A,WEST,Regina,Canada
RIPPLINGER PARK,4211 CHUKA DR,B,EAST,Regina,Canada
RIVERBEND ,3100 TREGARVA DRIVE,B,EAST,Regina,Canada
RIVERBEND PARK,1900 HESELTINE RD,,EAST,Regina,Canada
RIVERSIDE MEMORIAL,815 Assiniboine ave east,,,Regina,Canada
RIVERBEND PARK,2250 HESELTINE RD,,EAST,Regina,Canada
ROBERT USHER PARK,1660 9TH AVE N,B,NORTH,Regina,Canada
ROCHDALE PARK,6829 CUNNINGHAM DR,B,WEST,Regina,Canada
ROOTMAN PARK,61 ROOTMAN AVE,B,EAST,Regina,Canada
ROSEMONT PARK,1101 WALKER ST,B,WEST,Regina,Canada
ROSEMONT SCHOOL PARK,5310 4TH AVE,C,WEST,Regina,Canada
ROTARY PARK,2738 REGINA AVE,A,SOUTH,Regina,Canada
ROTHWELL FIELDS PARK,1197 PARK ST,C,EAST,Regina,Canada
ROTHWELL PARK,1201 ROTHWELL ST,B,EAST,Regina,Canada
RUTH BUCK PARK,6208 SHERWOOD DR,B,WEST,Regina,Canada
RUTH PAWSON PARK,20 WEEKES CRES,B,NORTH,Regina,Canada
RYAN PARK,51 RYAN RD,B,SOUTH,Regina,Canada
SANGSTER PARK,496 SANGSTER BLVD,B,NORTH,Regina,Canada
SCHWEITZER PARK,2715 HELMSING ST,B,EAST,Regina,Canada
SCRIVENER PARK,255 CANNON ST,B,EAST,Regina,Canada
SELINGER PARK,3674 SELINGER CRES,B,EAST,Regina,Canada
SEREDA PARK,7955 BARLEY CRES,B,WEST,Regina,Canada
SHANNON PARK,525 SHANNON RD,B,SOUTH,Regina,Canada
SHARP PARK,7401 DEWDNEY AVE,B,WEST,Regina,Canada
SHEPPARD PARK,255 N GARNET ST,B,NORTH,Regina,Canada
SHERWOOD / MILNE PARK,5310 SHERWOOD DR,B,WEST,Regina,Canada
SHERWOOD PARK,20 WAKEFIELD CRES,B,WEST,Regina,Canada
SHOWLER PARK,5303 UNIVERSAL CRES,B,SOUTH,Regina,Canada
SPRUCE MEADOWS PARK,3211 E TREGARVA DR,B,EAST,Regina,Canada
ST. ANNE PARK,342 N HALIFAX ST,C,NORTH,Regina,Canada
ST. FRANCIS PARK,6015 MIKKELSON DR,B,WEST,Regina,Canada
ST. GREGORY PARK,310 UPLAND DR,B,NORTH,Regina,Canada
ST. JAMES PARK,2360 PASQUA ST,C,CENTRAL,Regina,Canada
LEWVAN FIELDS,2360 PASQUA ST,C,CENTRAL,Regina,Canada
ST. MARK PARK,1855 ROTHWELL ST,B,EAST,Regina,Canada
ST. THOMAS PARK,700 E TYVAN AVE,C,CENTRAL,Regina,Canada
STAN OXELGREN MEMORIAL PARK,126 SANGSTER BLVD,B,NORTH,Regina,Canada
STEINSON PARK,7700 GORDON STASESON BLVD,B,WEST,Regina,Canada
STEWART RUSSELL PARK,1912 E 7TH AVE,B,EAST,Regina,Canada
STOREY PARK,15 STOREY CRES,B,WEST,Regina,Canada
TANSLEY PARK,2111 NORMAN MACKENZIE RD,B,NORTH,Regina,Canada
TENNIS COURT PARK,5401 SHERWOOD DR,B,WEST,Regina,Canada
THERESA STEVENSON PARK,1399 N LAKERIDGE RD,B,WEST,Regina,Canada
TIBBITS PARK,4525 MONTAGUE ST,B,SOUTH,Regina,Canada
TONY COTE PARK,1505 ANSON RD,C,CENTRAL,Regina,Canada
TOOTHILL PARK,510 TOOTHILL ST,C,WEST,Regina,Canada
TRANSCONA PLAYGROUND,725 EMPRESS ST,C,WEST,Regina,Canada
TRANSIT PARK,333 WINNIPEG ST,B,NORTH,Regina,Canada
TURNER PARK,130 BENTLEY DR,B,EAST,Regina,Canada
TUTOR PARK,4975 TUTOR WAY,B,SOUTH,Regina,Canada
UNIVERSITY PARK,25 MICHENER DR,B,EAST,Regina,Canada
VARSITY PARK,2635 E PHILIP RD,B,EAST,Regina,Canada
VENTURE PARK,7907 VENTURE RD,B,WEST,Regina,Canada
VICTORIA PARK,2190 VICTORIA AVE,A,CENTRAL,Regina,Canada
W.H. FORD PARK,6129 DALGLIESH DR,B,WEST,Regina,Canada
WALKER CRESCENT PARK,5633 WALKER CRES,B,WEST,Regina,Canada
WALTER PARK,44 WALTER CRES,B,WEST,Regina,Canada
WAPITI PARK,1001 N AGRYLE ST,,NORTH,Regina,Canada
WASCANA CREEK PARK,3910 PRINCE OF WALES DR,B,EAST,Regina,Canada
WASCANA RIDGE PARK,WASCANA RIDGE & WASCANA CIRCLE,B,EAST,Regina,Canada
WASCANA VIEW PARK,3025 WASCANA CIRCLE,B,EAST,Regina,Canada
WEEKES PARK,120 WEEKES CRES,B,NORTH,Regina,Canada
WESTHILL PARK,8103 SHERWOOD DR,B,WEST,Regina,Canada
WESTMINSTER PARK,3304 WESTMINSTER RD,B,EAST,Regina,Canada
WHELAN / RADWAY PARK,1202 N RADWAY ST,B,WEST,Regina,Canada
WILFRED WALKER PARK,1910 E WAGMAN DR,B,EAST,Regina,Canada
WILLIAMS CRESCENT PARK,635 WILLIAMS ST,B,WEST,Regina,Canada
WILLISTON PARK,30 WILLISTON DR,B,WEST,Regina,Canada
WINDSOR PARK SOUTH,3200 E WOODHAMS DR,B,EAST,Regina,Canada
WOODLAND GROVE PARK,3507 ARBOR GROVE DR,B,EAST,Regina,Canada
YELLOW RAIL PARK,3735 GREEN DIAMOND RD,B,EAST,Regina,Canada
YINGST PARK,216 CAVENDISH ST,B,EAST,Regina,Canada
